token,type,score,cummulative percentage,english
rohanó,ADJ,1,99.15,
tétlen,ADJ,1,99.15,"1 - inactive, idle"
száraz,ADJ,1,99.16,1 - dry
húszlépésnyi,ADJ,1,99.16,
keveredett,ADJ,1,99.16,
pihent,ADJ,1,99.16,
kezű,ADJ,1,99.17,"1 - -handed, with …… hands (having a specific kind of hand[s] or a specific number of hand[s])"
kurjantva,ADV,1,99.17,
villámgyors,ADJ,1,99.17,"1 - lightning fast, lightning-quick"
bombákért,NOUN,1,99.17,
kavargó,ADJ,1,99.17,
tömeg,NOUN,1,99.18,"1 - crowd, mass (e.g. of people)##2 - (physics) mass"
tízlépésnyi,ADJ,1,99.18,
elnyom,VERB,1,99.18,"1 - (transitive) to oppress, crush, tyrannize##2 - (transitive) to repress, stifle, suppress##3 - (transitive) to put out, stub out (to extinguish a cigar, cigarette)"
forrongó,ADJ,1,99.18,
pokol,NOUN,1,99.19,1 - hell
kiáltozás,NOUN,1,99.19,
erőteljes,ADJ,1,99.19,1 - powerful
tán,ADV,1,99.19,"1 - maybe, perhaps"
elkiálthat,VERB,1,99.2
szembejövő,ADJ,1,99.2,
tüzérségi,ADJ,1,99.2,
elérkezett,ADJ,1,99.2,
végső,ADJ,1,99.2,"1 - final, ultimate"
kétlépésnyi,ADJ,1,99.21,
előkap,VERB,1,99.21,"**KAP**1 - (transitive) to get, to receive (from someone: -tól/-től; as something: -ul/-ül)##2 - (intransitive) to snatch, to grab (expressing a sudden movement) (with -hoz/-hez/-höz, -ba/-be, felé, or után)##3 - (transitive, dialectal) to find"
rohamlépés,NOUN,1,99.21,
páros,ADJ,1,99.21,1 - (arithmetic) even (divisible by two)##2 - double
bocsátkozik,VERB,1,99.22
sut,NOUN,1,99.22,1 - inglenook (the narrow place between the furnace and the wall)##2 - inglenook (the flat top of the furnace or oven)
félannyian,ADV,1,99.22,
nyomul,VERB,1,99.22
kalapál,VERB,1,99.22,1 - (transitive) to hammer
elgörbül,VERB,1,99.23,**GÖRBÜL**1 - (intransitive) to bend (to shape into a curve)
rohanva,ADV,1,99.23,1 - in a hurry
lökődik,VERB,1,99.23
harcoló,ADJ,1,99.23,
vézna,ADJ,1,99.24,"1 - puny, sickly, thin, skinny, weakling"
tiltólag,ADV,1,99.24,
hirtelen,ADJ,1,99.24,"1 - sudden, abrupt, rapid##2 - (of a person or someone’s gesture) impulsive, impetuous"
fordulat,NOUN,1,99.24,"1 - turn, revolution, rotation (the turning of an object around an axis)##2 - (sudden) change##3 - phrase, expression, figure of speech"
harsogó,ADJ,1,99.24,
csontú,ADJ,1,99.25,"1 - -boned, with a …… bone or bones (having some specific type of bone)"
erőfeszítés,NOUN,1,99.25,1 - effort (the amount of work involved in achieving something)
lüktető,ADJ,1,99.25,
önkívület,NOUN,1,99.25,
teremt,VERB,1,99.26,1 - (transitive) to create (to put into existence)
ájult,ADJ,1,99.26,
pecsételve,ADV,1,99.26,
pillanatnyi,ADJ,1,99.26,1 - momentary (lasting for only a moment)##2 - current (existing or occurring at the moment)
lánccá,NOUN,1,99.27,
alakul,VERB,1,99.27,"1 - (intransitive) to take shape, become, turn out##2 - (intransitive) synonym of átalakul (“to change, turn into, transform, metamorphose into something”, used with -vá/-vé)"
összekeveredve,ADV,1,99.27,
megvert,ADJ,1,99.27,
mámoros,ADJ,1,99.27,"1 - intoxicated##2 - drunk##3 - rapturous, ecstatic"
győzelmi,ADJ,1,99.28,
fekvő,ADJ,1,99.28,"1 - lying (being in bed)##2 - reclining, lying##3 - landscape-format (oriented so that the horizontal sides are longer than the vertical sides)"
nagyban,ADV,1,99.28,"1 - significantly, considerably##2 - in earnest, in full swing (with considerable commitment, determination, or effect; proceeding fully, quickly, or completely, thoroughly begun and in progress)##3 - wholesale, in bulk##4 - for high stakes"
zúgó,ADJ,1,99.28,
mosogat,VERB,1,99.29,1 - (transitive) to do the dishes
bágyadt,ADJ,1,99.29,"1 - (of a person) weary, enervated, languid, faint, feeble, languorous (having reduced strength or vitality, slightly tired)"
fogódva,ADV,1,99.29,
családi,ADJ,1,99.29,1 - family (related to the family)##2 - marital
lep,VERB,1,99.29,1 - (literary or archaic) to cover
emészt,VERB,1,99.3,1 - (transitive) to digest (food)
hazul,NOUN,1,99.3,
valahová,ADV,1,99.3,1 - alternative form of valahova
köménymagos,ADJ,1,99.3,
kiáltsak,VERB,1,99.31
kiáltot,VERB,1,99.31
gyössz,VERB,1,99.31
gyöngülve,ADV,1,99.31,
szekrény,NOUN,1,99.31,"1 - wardrobe, cupboard, cabinet, closet (furniture used for storage)"
felöltözik,VERB,1,99.32,"1 - (intransitive) to dress, to get dressed"
szájamig,NOUN,1,99.32,
elszökik,VERB,1,99.32,"**SZÖKIK**1 - (intransitive, dialectal) to hop##2 - (intransitive, literary) to spring##3 - (intransitive) to flee"
harcolhat,VERB,1,99.32
megfüröszt,VERB,1,99.33,**FÜRÖSZT**1 - (transitive) to bathe someone
keseredve,ADV,1,99.33,
belefárad,VERB,1,99.33,"**FÁRAD**1 - (intransitive) to tire, get tired (to become sleepy or weary)##2 - (intransitive) to take pains to do something##3 - (intransitive) to take pains to do something on someone's behalf (-ért)##4 - (intransitive, formal) to take the trouble to go/proceed somewhere (with lative suffixes)"
egyenkint,ADV,1,99.33,
amelyik,ADV,1,99.34,
hősies,ADJ,1,99.34,1 - heroic
dicséret,NOUN,1,99.34,"1 - praise, compliment, commendation"
támolyogva,ADV,1,99.34,
vihet,VERB,1,99.34,1 - potential form of visz
csatabárd,NOUN,1,99.35,"1 - battle axe, hatchet"
halom,NOUN,1,99.35,"1 - heap, pile"
bejárat,NOUN,1,99.35,1 - entrance
tűzve,ADV,1,99.35,
visszahódított,ADJ,1,99.36,
kérdő,ADJ,1,99.36,1 - questioning (revealing curiosity to find out something)##2 - (grammar) interrogative
jóvátet,VERB,1,99.36
immár,ADV,1,99.36,"1 - (literary) already, now"
harmad,ADV,1,99.36,
kapitánnyá,NOUN,1,99.37,
legelöl,ADV,1,99.37,1 - superlative degree of elöl
kérdezősködik,VERB,1,99.37
kerít,VERB,1,99.37,"1 - (transitive) to fence in, enclose, surround##2 - (transitive) to procure, get hold of, obtain"
szedelőzik,VERB,1,99.38
zúdul,VERB,1,99.38
kettős,ADJ,1,99.38,"1 - double, dual##2 - (grammar) dual"
árad,VERB,1,99.38,"1 - (intransitive) to rise, flood (river)##2 - (intransitive) to flow, stream (liquid)##3 - (intransitive) to radiate, emanate (light)"
lépő,ADJ,1,99.38,
páros,NOUN,1,99.39,"1 - duo, couple##2 - (sports) doubles"
sorakozott,ADJ,1,99.39,
lehető,ADJ,1,99.39,"1 - (following a (“the”), preceding a superlative) possible, as …… as possible"
alapos,ADJ,1,99.39,"1 - thorough##2 - (of a person) conscientious, painstaking##3 - well-founded, well-substantiated"
megtorol,VERB,1,99.4,1 - (transitive) to retaliate
mesterlegény,NOUN,1,99.4,
zavarhat,VERB,1,99.4,1 - potential form of zavar
megbicsakol,VERB,1,99.4
szerbusz,VERB,1,99.41
gyúl,VERB,1,99.41,"1 - (intransitive, literary) to light up, to become lighted/illuminated##2 - (intransitive, literary) to light up (to have a sudden realization and understanding, an inspiration, an idea)##3 - (intransitive, figuratively, literary, of emotions) to become inflamed with emotions, anger, love, ardent desire (followed by -ra/-re)"
visszafektet,VERB,1,99.41,"**FEKTET**1 - (transitive) causative of fekszik: to lay (to place down in a position of rest, or in a horizontal position)"
kimerít,VERB,1,99.41,"1 - (transitive, of liquid) to drain, draw (to extract a liquid)##2 - (transitive) to exhaust, wear out, deplete, tire out (to cause to be without any energy)"
olvadó,ADJ,1,99.41,
haov,NOUN,1,99.42,
csoszogva,ADV,1,99.42,
vissza-visszafordul,VERB,1,99.42
lóvasutas,NOUN,1,99.42,
csend,NOUN,1,99.43,"1 - silence, stillness, hush##2 - quietness, calmness"
zörget,VERB,1,99.43
szélroham,NOUN,1,99.43,"1 - (weather) squall, gust, blast"
csörömpölő,ADJ,1,99.43,
libegő-lobogó,ADJ,1,99.43,
nekidől,VERB,1,99.44
istenigazában,ADV,1,99.44,
pusztul,VERB,1,99.44,"1 - (intransitive) to get devastated, to get ruined, to decay"
elmúlás,NOUN,1,99.44,
kosár,NOUN,1,99.45,"1 - basket (round lightweight container, especially one that is woven)##2 - basketful (amount that will fit into a basket)##3 - shopping basket (basket for carrying merchandise while shopping)##4 - (by extension, Internet) cart, shopping cart (list of items marked for purchase in an online store)##5 - bra cup (part of a bra that covers the breast, also used as a measurement of size)##6 - (in set phrases) rejection, the mitten (typically of a marriage proposal, or refusal to dance)##7 - the basket of a hot-air balloon, a crane or a crow’s nest##8 - a concept or object relating to the team sport of basketball#(colloquial) basketball (sport with the objective of putting a ball through a hoop)##9 - a concept or object relating to the team sport of basketball#(basketball) basket (circular hoop from which a net is suspended)##10 - a concept or object relating to the team sport of basketball#(basketball) basket (putting the ball through the basket, thereby scoring points)"
termetű,ADJ,1,99.45,"1 - -statured (having a named build, physique)"
fércel,NOUN,1,99.45,
fölébreszt,VERB,1,99.45
kipityereg,VERB,1,99.46
megáld,VERB,1,99.46,1 - (transitive) to bless (to convey blessing on)
haldokló,NOUN,1,99.46,"1 - dying, moribund person"
elhagyott,ADJ,1,99.46,
meglassít,VERB,1,99.46,"**LASSÍT**1 - (transitive) to slow down, decelerate##2 - (intransitive, ergative) to slow down"
kijön,VERB,1,99.47,1 - (intransitive) to come out (of something -ból/-ből)##2 - (intransitive) to get along (with someone -val/-vel)##3 - (intransitive) to make ends meet##4 - (of a calculation being correct) to be right; to work out; to add up
félrefúj,VERB,1,99.47
elhal,VERB,1,99.47,"1 - (intransitive) to die, to necrotize, to necrose (esp. of medical tissue)##2 - (intransitive) to die away, to die down, to abate, to subside (sound, enthusiasm)"
mennydörgés,NOUN,1,99.47,1 - thunder (the sound caused by the discharge of atmospheric electrical charge)
uraskodik,VERB,1,99.48
megrázva,ADV,1,99.48,
megtépázva,ADV,1,99.48,
megríkatva,ADV,1,99.48,
göngyölt,ADJ,1,99.48,
szalonna,NOUN,1,99.49,"1 - bacon (salt cured and smoked, that can be eaten without cooking)##2 - salo (cured slabs of fatback, with or without skin)"
vacsorázgatva,ADV,1,99.49,
meglebbentet,VERB,1,99.49
petróleumlámpa,NOUN,1,99.49,1 - oil lamp
bejegyez,VERB,1,99.5,1 - (transitive) to register (to enter in a register)
17-dik,ADJ,1,99.5,
tévedés,NOUN,1,99.5,"1 - error, mistake, miscalculation"
nevezett,ADJ,1,99.5,
tény,NOUN,1,99.5,1 - fact
múltkori,ADJ,1,99.51,
ideír,VERB,1,99.51,1 - (transitive) to write here
egyhangúlag,ADV,1,99.51,1 - unanimously
168-dik,ADJ,1,99.51,
fölülről,ADV,1,99.52,
4-dik,ADJ,1,99.52,
című,ADJ,1,99.52,1 - titled
fejezet,NOUN,1,99.52,"1 - chapter (a section in a book, life, history)"
érsek,NOUN,1,99.53,1 - archbishop
muszáj,VERB,1,99.53
harci,ADJ,1,99.53,"1 - martial, military, warlike, fighting (of, relating to, or suggestive of war, battle, combat)"
rendreutasít,VERB,1,99.53
lenyom,VERB,1,99.53,"1 - (transitive) to press down, push down##2 - (transitive) to press (a key)##3 - (transitive) to drive down (prices)"
indítvány,NOUN,1,99.54,"1 - proposal, suggestion, proposition##2 - motion (a parliamentary action to propose something)##3 - (European Union law) opinion (judicial opinion delivered by an Advocate General to the European Court of Justice for a legal solution in a case)"
részesül,VERB,1,99.54,"1 - (intransitive) to receive, get (something -ban/-ben)"
napirend,NOUN,1,99.54,1 - agenda (list of matters to be taken up)
pletyka,NOUN,1,99.54,"1 - gossip (idle talk)##2 - (usually uncountable) spiderwort (a house plant, Tradescantia, especially Tradescantia fluminensis)"
porol,VERB,1,99.55
legvége,NOUN,1,99.55,
kíméletes,ADJ,1,99.55,"1 - gentle, indulgent"
bánik,VERB,1,99.55,"1 - (intransitive) to treat someone, handle someone, deal with someone (followed by -val/-vel)"
püfölés,NOUN,1,99.55,
nyitogat,VERB,1,99.56
kanál,NOUN,1,99.56,"1 - spoon (an implement for eating or serving)##2 - spoon, scoop (the amount or volume of loose or solid material held by a particular scoop)##3 - (medicine) scoop (a spoon-shaped surgical instrument, used in extracting certain substances or foreign bodies)"
vigyázva,ADV,1,99.56,
megnő,VERB,1,99.56,"1 - (intransitive, of humans) to grow up##2 - (intransitive, of plants) to grow##3 - (intransitive, of influence) to increase"
beesik,VERB,1,99.57,"**ESIK**1 - (intransitive) to fall##2 - (intransitive, normally supplemented with the name of the precipitation) to rain, to snow##3 - (intransitive) to fall somewhere, to happen to be at some place or time (of an event on some day of the week or month or the stress on a particular syllable)##4 - (intransitive) to go down, to tumble, to drop, drop off, drop away (e.g. price or popularity)##5 - (intransitive) to (happen to) be found, to lie, to be situated somewhere##6 - (intransitive) to fall into or get into a situation (e.g. falling victim to someone or something)##7 - (intransitive) to fall or belong within the scope, force, power, or effect of something, to be subject or liable to some regulation or jurisdiction##8 - (intransitive) to be affected, to feel in some way (with -nak/-nek for the person affected)##9 - (intransitive) to happen, to come about##10 - (intransitive) to attack, assail (with -nak/-nek)"
szüntelen,ADJ,1,99.57,"1 - unceasing, incessant, ceaseless, unremitting"
búbánat,NOUN,1,99.57,"1 - distress, grief, sorrow (deep, long-lasting sadness)"
sopánkodik,VERB,1,99.57
bólint,VERB,1,99.57,"1 - (ambitransitive) to nod (to incline the head down and up once, to indicate agreement)"
ébren,ADV,1,99.58,1 - awake (not asleep; conscious)
udvari,ADJ,1,99.58,"1 - court-, belonging to the court"
asszonyka,NOUN,1,99.58,
kérve,ADV,1,99.58,
kötény,NOUN,1,99.59,"1 - apron (an article of clothing worn over the front of the torso and/or legs for protection from spills)##2 - (slang, soccer) nutmeg (the playing of the ball between the legs of an opponent)"
valahova,ADV,1,99.59,1 - somewhere
dehogynem,ADV,1,99.59,
vánkos,NOUN,1,99.59,1 - pillow
hecc,NOUN,1,99.6,
tekintélyes,ADJ,1,99.6,"1 - respectable, distinguished (of a person with authority and prestige)##2 - considerable, sizable, imposing"
üdvözöl,VERB,1,99.6,"1 - (transitive) to welcome, greet (to affirm or greet the arrival of someone)"
mogorva,ADJ,1,99.6,"1 - morose, gruff, sullen, grouchy (unfriendly and bad-tempered)"
simít,VERB,1,99.6,"1 - (transitive) to smooth, smoothen, even"
férfiember,NOUN,1,99.61,
súrolt,ADJ,1,99.61,
mellé,ADV,1,99.61,
átölelve,ADV,1,99.61,
háza,NOUN,1,99.62,1 - third-person singular single-possession possessive of ház
csapat,VERB,1,99.62,"1 - (transitive) causative of csap: to have someone (-val/-vel) strike (something) or to have something struck by someone##2 - (transitive, chiefly in definite forms with null object, slang, neologism) to do something vigorously, repetitively, effectively, or successfully"
vezérré,NOUN,1,99.62,
lecsöndesedik,VERB,1,99.62
megvigasztal,VERB,1,99.62,1 - (transitive) to console
akaratlan,ADJ,1,99.63,
csúnyaság,NOUN,1,99.63,"1 - homeliness, ugliness"
fáramászás,NOUN,1,99.63,
tönkretesz,VERB,1,99.63,"1 - (transitive) to ruin, spoil, destroy (to make unfit for use or normal functioning)"
nyurga,ADJ,1,99.64,
süvítő,ADJ,1,99.64,
nekimegy,VERB,1,99.64,"1 - (intransitive) to bump against, run into something (to collide with something) (with -nak/-nek)##2 - (intransitive) to attack someone##3 - (intransitive) to have a go at something, to make an attempt (such as a test or exam) (with -nak/-nek)"
metél,VERB,1,99.64,"1 - to chop up (small), mince"
követelő,ADJ,1,99.65,"1 - (slightly rare) alternative form of követelőző (“aggressive, pushy, bossy”)"
eljösik,VERB,1,99.65
föltesz,VERB,1,99.65
kotorász,VERB,1,99.65
lapos,ADJ,1,99.65,"1 - flat (having no variations in height)##2 - (colloquial) flat (having small or invisible breasts)##3 - dull, bland, stale, uninteresting####1 - consisting of a given number of pages or sheets"
nyomott,ADJ,1,99.66,"1 - (of a mood) downcast, downbeat, dejected, depressed, low-spirited##2 - (derogatory, slang) batty, nuts"
amely,NOUN,1,99.66,
ellen,NOUN,1,99.66,"1 - (archaic or literary) enemy, opponent"
éltető,ADJ,1,99.66,
sugarú,ADJ,1,99.67,
valósággal,ADV,1,99.67,"1 - (dated or archaic) actually, literally##2 - practically, virtually, veritably, almost"
bolond,ADJ,1,99.67,"1 - crazy##2 - silly, foolish"
kitágul,VERB,1,99.67,"**TÁGUL**1 - (intransitive) to expand, to stretch"
harcolta,VERB,1,99.67
fővárosi,ADJ,1,99.68,"1 - of or relating to the capital city, metropolitan"
felpróbálhat,VERB,1,99.68,**PRÓBÁLHAT**1 - potential form of próbál
kiabáló,ADJ,1,99.68,
ezüstlándzsa,NOUN,1,99.68,
összefércelve,ADV,1,99.69,
ember,ADJ,1,99.69,
okoz,VERB,1,99.69,1 - (transitive) to cause
